Node_ID	X(mm)	Y(mm)	Z(mm)
36	11.771631971	-0.298860866	49.950000000
37	14.071229433	1.253678141	49.950000000
38	16.404116050	2.936613164	49.950000000
39	18.802679024	4.675772927	49.950000000
40	21.259581357	6.453722766	49.950000000
41	23.746568089	8.282495959	49.950000000
42	26.231766883	10.180301405	49.950000000
43	28.663802743	12.190775364	49.950000000
1	29.239740797	11.902221148	52.500000000
2	26.316464900	10.770669007	52.500000000
3	23.448017637	9.572979849	52.500000000
4	20.637492810	8.338042505	52.500000000
5	17.892756088	7.087038106	52.500000000
6	15.223641566	5.837795601	52.500000000
7	12.643076732	4.601344842	52.500000000
8	10.166838716	3.382136382	52.500000000
9	7.815994706	2.173466789	52.500000000
10	5.597292570	0.995871590	52.500000000
11	3.525025971	-0.146478983	52.500000000
12	1.612114947	-1.248162636	52.500000000
13	-0.130792882	-2.301217037	52.500000000
14	-1.699779953	-3.288615978	52.500000000
15	-3.099417991	-4.182905042	52.500000000
16	-4.327658969	-4.969929548	52.500000000
17	-5.373469768	-5.651688906	52.500000000
18	-6.219426521	-6.241003482	52.500000000
19	-6.840405359	-6.757024384	52.500000000
20	-7.187127932	-7.218287086	52.500000000
21	-7.231328059	-7.558674233	52.500000000
22	-7.189467542	-7.667289727	52.500000000
23	-7.122199406	-7.764595679	52.500000000
24	-6.840910448	-7.977568177	52.500000000
25	-6.285955277	-8.170750288	52.500000000
26	-5.472866839	-8.271501545	52.500000000
27	-4.427388034	-8.237749694	52.500000000
28	-3.177244046	-8.033281972	52.500000000
29	-1.752214217	-7.632075772	52.500000000
30	-0.178362097	-7.027664648	52.500000000
31	1.530438366	-6.238986939	52.500000000
32	3.376037784	-5.307156938	52.500000000
33	5.353251487	-4.251786155	52.500000000
34	7.444086260	-3.068440035	52.500000000
35	9.635247956	-1.763553001	52.500000000
36	11.913681572	-0.345231925	52.500000000
37	14.266535905	1.177063640	52.500000000
38	16.672586468	2.805534964	52.500000000
39	19.140289723	4.497953587	52.500000000
40	21.657882124	6.242535005	52.500000000
41	24.201592868	8.045325508	52.500000000
42	26.743008584	9.920154898	52.500000000
43	29.239740797	11.902221148	52.500000000
1	29.686454058	11.546493003	55.050000000
2	26.724395686	10.454817495	55.050000000
3	23.821829235	9.284054766	55.050000000
4	20.978645505	8.071724636	55.050000000
5	18.201844327	6.841772180	55.050000000
6	15.502076106	5.610860197	55.050000000
7	12.892782166	4.389377517	55.050000000
8	10.389248666	3.183107936	55.050000000
9	8.008261370	1.993933981	55.050000000
10	5.761878466	0.832176124	55.050000000
11	3.664172614	-0.297291463	55.050000000
12	1.728058629	-1.388731851	55.050000000
13	-0.035000297	-2.435213665	55.050000000
14	-1.619789888	-3.421245087	55.050000000
15	-3.033812597	-4.314066728	55.050000000
16	-4.277648648	-5.095124412	55.050000000
17	-5.341533655	-5.764507795	55.050000000
18	-6.208093907	-6.336059473	55.050000000
19	-6.851902812	-6.832570850	55.050000000
20	-7.226000690	-7.277537377	55.050000000
21	-7.284953895	-7.617268115	55.050000000
22	-7.244700676	-7.727307671	55.050000000
23	-7.177807945	-7.825793281	55.050000000
24	-6.894858590	-8.040263649	55.050000000
25	-6.335935512	-8.233873320	55.050000000
26	-5.517715190	-8.337270327	55.050000000
27	-4.465162636	-8.309612274	55.050000000
28	-3.205225470	-8.113718252	55.050000000
29	-1.767596906	-7.721648457	55.050000000
30	-0.179079871	-7.124759487	55.050000000
31	1.545427932	-6.340772108	55.050000000
32	3.407089827	-5.410737619	55.050000000
33	5.400792318	-4.355060084	55.050000000
34	7.512767879	-3.177155383	55.050000000
35	9.730659909	-1.884673837	55.050000000
36	12.042148386	-0.486552218	55.050000000
37	14.434773090	1.007448156	55.050000000
38	16.893602467	2.590553691	55.050000000
39	19.411047866	4.243998194	55.050000000
40	21.972680199	5.959538422	55.050000000
41	24.557935663	7.738510330	55.050000000
42	27.141064455	9.591190882	55.050000000
43	29.686454058	11.546493003	55.050000000
1	30.041529928	11.140693870	57.600000000
2	27.052302120	10.085763606	57.600000000
3	24.123830957	8.945892967	57.600000000
4	21.255024886	7.762315543	57.600000000
