Node_ID	X(mm)	Y(mm)	Z(mm)
5	18.452750981	6.560056765	57.600000000
6	15.728320557	5.354777247	57.600000000
7	13.095478616	4.156516507	57.600000000
8	10.569185673	2.971948735	57.600000000
9	8.164561814	1.806433635	57.600000000
10	5.896085381	0.665490245	57.600000000
11	3.777833211	-0.445844179	57.600000000
12	1.822780360	-1.521747808	57.600000000
13	0.042854490	-2.555865830	57.600000000
14	-1.555931409	-3.533578731	57.600000000
15	-2.982483085	-4.419131428	57.600000000
16	-4.238672197	-5.191559625	57.600000000
17	-5.315369399	-5.849934787	57.600000000
18	-6.195234228	-6.408684237	57.600000000
19	-6.852821388	-6.892450975	57.600000000
20	-7.242177539	-7.327478122	57.600000000
21	-7.310082493	-7.666573320	57.600000000
22	-7.271211462	-7.777596433	57.600000000
23	-7.205036439	-7.877131383	57.600000000
24	-6.922485958	-8.094415070	57.600000000
25	-6.362567187	-8.292419473	57.600000000
26	-5.541984574	-8.403429465	57.600000000
27	-4.484960839	-8.386991691	57.600000000
28	-3.217744472	-8.205199346	57.600000000
29	-1.769777577	-7.828772298	57.600000000
30	-0.168263858	-7.247487921	57.600000000
31	1.571051214	-6.478000322	57.600000000
32	3.448505971	-5.561131240	57.600000000
33	5.458787661	-4.517614756	57.600000000
34	7.590024728	-3.354563801	57.600000000
35	9.830252188	-2.080261089	57.600000000
36	12.167480945	-0.704149827	57.600000000
37	14.589356828	0.763872519	57.600000000
38	17.082895471	2.314020689	57.600000000
39	19.634350991	3.937039485	57.600000000
40	22.228068031	5.626383222	57.600000000
41	24.844771537	7.381435235	57.600000000
42	27.460008883	9.210839437	57.600000000
43	30.041529928	11.140693870	57.600000000
1	30.368451053	10.719061287	60.150000000
2	27.358260711	9.696381826	60.150000000
3	24.408094369	8.587592436	60.150000000
4	21.517268846	7.434236319	60.150000000
5	18.692987185	6.261272143	60.150000000
6	15.946753460	5.084328607	60.150000000
7	13.292533718	3.913168074	60.150000000
8	10.745335543	2.754480777	60.150000000
9	8.320316367	1.613612585	60.150000000
10	6.032179451	0.495677193	60.150000000
11	3.895105408	-0.594438234	60.150000000
12	1.922183818	-1.651049383	60.150000000
13	0.125524771	-2.668040552	60.150000000
14	-1.488725972	-3.630703436	60.150000000
15	-2.929168777	-4.502956005	60.150000000
16	-4.197629171	-5.263449516	60.150000000
17	-5.284974553	-5.911297161	60.150000000
18	-6.173984657	-6.461173867	60.150000000
19	-6.839474432	-6.938109526	60.150000000
20	-7.235674898	-7.369249914	60.150000000
21	-7.307908596	-7.708452833	60.150000000
22	-7.270180422	-7.820221679	60.150000000
23	-7.204895298	-7.920754982	60.150000000
24	-6.923884984	-8.141701412	60.150000000
25	-6.364550216	-8.346417868	60.150000000
26	-5.542899797	-8.467037533	60.150000000
27	-4.482695435	-8.462755367	60.150000000
28	-3.209776893	-8.295224865	60.150000000
29	-1.753320837	-7.934650467	60.150000000
30	-0.140523180	-7.370343059	60.150000000
31	1.612584789	-6.618740279	60.150000000
32	3.505806278	-5.720687328	60.150000000
33	5.533672089	-4.697128125	60.150000000
34	7.684247735	-3.555176639	60.150000000
35	9.945483365	-2.303065183	60.150000000
36	12.305266163	-0.950147413	60.150000000
37	14.751105641	0.493782098	60.150000000
38	17.269915694	2.018989518	60.150000000
39	19.847614160	3.616669923	60.150000000
40	22.468358994	5.280543538	60.150000000
41	25.112877848	7.010108407	60.150000000
42	27.756884276	8.814104917	60.150000000
43	30.368451053	10.719061287	60.150000000
1	30.695001935	10.297229462	62.700000000
2	27.666046043	9.306824319	62.700000000
3	24.696297431	8.229354889	62.700000000
4	21.785539065	7.106484634	62.700000000
5	18.941274400	5.963151375	62.700000000
6	16.175206381	4.814904917	62.700000000
7	13.501447378	3.671366028	62.700000000
8	10.935109345	2.539086495	62.700000000
9	8.491450844	1.423241765	62.700000000
10	6.185264519	0.328798267	62.700000000
11	4.030819192	-0.739504435	62.700000000
12	2.041299937	-1.776116663	62.700000000
13	0.228913806	-2.775042642	62.700000000
14	-1.399999364	-3.721629248	62.700000000
15	-2.853652854	-4.579606656	62.700000000
16	-4.133651660	-5.327526796	62.700000000
17	-5.230841524	-5.964587856	62.700000000
18	-6.128127792	-6.505693824	62.700000000
19	-6.800560058	-6.976202601	62.700000000
20	-7.202532585	-7.403879992	62.700000000
21	-7.278612138	-7.743074021	62.700000000
22	-7.241962109	-7.855496757	62.700000000
23	-7.177573582	-7.956940572	62.700000000
24	-6.898260488	-8.181378742	62.700000000
25	-6.339876047	-8.392669852	62.700000000
26	-5.517683221	-8.522690758	62.700000000
27	-4.455004644	-8.530314517	62.700000000
28	-3.177275943	-8.376832865	62.700000000
29	-1.713379746	-8.032041791	62.700000000
30	-0.090452459	-7.484863552	62.700000000
31	1.675229556	-6.751528782	62.700000000
32	3.582994487	-5.872961679	62.700000000
33	5.627141359	-4.870137481	62.700000000
34	7.795631857	-3.750058645	62.700000000
35	10.076299158	-2.520846184	62.700000000
36	12.456896283	-1.191735901	62.700000000
37	14.924799048	0.227587309	62.700000000
38	17.466783910	1.727512058	62.700000000
39	20.068641399	3.299366476	62.700000000
40	22.714425293	4.937032788	62.700000000
41	25.384818393	6.640221953	62.700000000
42	28.055582100	8.417968663	62.700000000
43	30.695001935	10.297229462	62.700000000
1	31.018165218	9.874478098	65.250000000
2	27.972810648	8.916706078	65.250000000
3	24.985824593	7.870963596	65.250000000
4	22.057443800	6.779019582	65.250000000
5	19.195458699	5.665783447	65.250000000
6	16.411759193	4.546718999	65.250000000
7	13.720591150	3.431301821	65.250000000
8	11.137158913	2.325942726	65.250000000
9	8.676809827	1.235644575	65.250000000
10	6.354414784	0.165223658	65.250000000
11	4.184320133	-0.880731220	65.250000000
12	2.179796765	-1.896809525	65.250000000
13	0.353140034	-2.877140693	65.250000000
14	-1.289120493	-3.807141763	65.250000000
