Node_ID	X(mm)	Y(mm)	Z(mm)
18	-0.006650890	-0.003761646	0.025885455
19	-0.006795649	-0.004186646	0.025885455
20	-0.006763079	-0.004532541	0.025885455
21	-0.006627990	-0.004744927	0.025885455
22	-0.006516472	-0.004848333	0.025885455
23	-0.006475819	-0.004878853	0.025885455
24	-0.006431874	-0.004907968	0.025885455
25	-0.006289170	-0.004974817	0.025885455
26	-0.006032133	-0.005023092	0.025885455
27	-0.005667230	-0.005016700	0.025885455
28	-0.005206350	-0.004947324	0.025885455
29	-0.004667733	-0.004776612	0.025885455
30	-0.004054912	-0.004528880	0.025885455
31	-0.003386350	-0.004181339	0.025885455
32	-0.002676337	-0.003728303	0.025885455
33	-0.001937017	-0.003169601	0.025885455
34	-0.001179132	-0.002507441	0.025885455
35	-0.000412480	-0.001745354	0.025885455
36	0.000353673	-0.000887662	0.025885455
37	0.001110430	0.000060660	0.025885455
38	0.001849416	0.001093875	0.025885455
39	0.002563234	0.002205279	0.025885455
40	0.003246036	0.003387132	0.025885455
41	0.003893781	0.004631007	0.025885455
42	0.004503620	0.005928752	0.025885455
43	0.005072005	0.007274153	0.025885455
44	0.005591465	0.008665290	0.025885455
45	0.005954048	0.009970431	0.025885455
1	0.006653817	0.010149518	0.028270909
2	0.005551701	0.009125435	0.028270909
3	0.004468391	0.008096400	0.028270909
4	0.003405244	0.007071097	0.028270909
5	0.002360643	0.006060649	0.028270909
6	0.001337012	0.005072500	0.028270909
7	0.000339161	0.004111763	0.028270909
8	-0.000626729	0.003182038	0.028270909
9	-0.001553714	0.002285898	0.028270909
10	-0.002434428	0.001425179	0.028270909
11	-0.003261273	0.000601190	0.028270909
12	-0.004026542	-0.000185112	0.028270909
13	-0.004722495	-0.000932904	0.028270909
14	-0.005341458	-0.001641201	0.028270909
15	-0.005876006	-0.002308406	0.028270909
16	-0.006319389	-0.002931630	0.028270909
17	-0.006666506	-0.003505707	0.028270909
18	-0.006915894	-0.004022093	0.028270909
19	-0.007066393	-0.004470272	0.028270909
20	-0.007052844	-0.004836676	0.028270909
21	-0.006924345	-0.005068002	0.028270909
22	-0.006811438	-0.005181377	0.028270909
23	-0.006769284	-0.005214323	0.028270909
24	-0.006723916	-0.005245597	0.028270909
25	-0.006577880	-0.005322015	0.028270909
26	-0.006313006	-0.005389515	0.028270909
27	-0.005931809	-0.005394102	0.028270909
28	-0.005450339	-0.005320246	0.028270909
29	-0.004885832	-0.005146564	0.028270909
30	-0.004246584	-0.004884564	0.028270909
31	-0.003550256	-0.004516545	0.028270909
32	-0.002811312	-0.004038026	0.028270909
33	-0.002042259	-0.003449137	0.028270909
34	-0.001253681	-0.002752892	0.028270909
35	-0.000454648	-0.001953973	0.028270909
36	0.000346846	-0.001058032	0.028270909
37	0.001143615	-0.000071381	0.028270909
38	0.001929214	0.000999094	0.028270909
39	0.002698035	0.002145927	0.028270909
40	0.003445439	0.003361132	0.028270909
41	0.004167675	0.004636498	0.028270909
42	0.004861308	0.005964270	0.028270909
43	0.005521878	0.007338363	0.028270909
44	0.006141642	0.008756196	0.028270909
45	0.006653817	0.010149518	0.028270909
1	0.007286138	0.009981653	0.030656364
2	0.006120784	0.008977315	0.030656364
3	0.004983368	0.007958581	0.030656364
4	0.003866009	0.006943446	0.030656364
5	0.002766772	0.005944160	0.030656364
6	0.001688424	0.004968290	0.030656364
7	0.000636418	0.004020549	0.030656364
8	-0.000382420	0.003103992	0.030656364
9	-0.001360660	0.002220743	0.030656364
10	-0.002290698	0.001372402	0.030656364
11	-0.003164952	0.000560269	0.030656364
12	-0.003975938	-0.000214537	0.030656364
13	-0.004716254	-0.000951008	0.030656364
14	-0.005378479	-0.001648177	0.030656364
